Symbol,Price,Day
EKGYO,"20,56",2025-11-06
BIMAS,"551,5",2025-11-06
TUPRS,"198,2",2025-11-06
GUBRF,"309,25",2025-11-06
PGSUS,"213,6",2025-11-06
SAHOL,"82,5",2025-11-06
KRDMD,28,2025-11-06
FROTO,"97,9",2025-11-06
PETKM,"17,32",2025-11-06
THYAO,"292,5",2025-11-06
SASA,"2,97",2025-11-06
EREGL,"26,52",2025-11-06
ASELS,"187,4",2025-11-06
TOASO,"238,8",2025-11-06
DSTKF,698,2025-11-05
TTKOM,55,2025-11-05
TAVHL,272,2025-11-05
ASTOR,100,2025-11-05
YKBNK,"33,98",2025-11-05
KOZAL,"26,92",2025-11-05
AEFES,"14,79",2025-11-05
ULKER,"110,5",2025-11-05
ISCTR,"13,1",2025-11-05
GARAN,135,2025-11-05
AKBNK,"61,2",2025-11-05
SISE,"36,9",2025-11-05
PETKM,"17,6",2025-11-05
PGSUS,"212,7",2025-11-05
TUPRS,"195,4",2025-11-05
KCHOL,171,2025-11-05
MGROS,"458,4",2025-11-05
ENKAI,"75,7",2025-11-05
EKGYO,"20,1",2025-11-05
FROTO,"99,3",2025-11-05
KRDMD,"27,7",2025-11-05
GUBRF,"300,5",2025-11-05
SAHOL,"80,2",2025-11-05
THYAO,290,2025-11-05
EREGL,"27,06",2025-11-05
TCELL,"97,7",2025-11-05
BIMAS,"529,5",2025-11-05
SASA,"3,01",2025-11-05
ASELS,"194,1",2025-11-05
TOASO,"241,2",2025-11-05
EREGL,"29,18",2025-11-04
DSTKF,647,2025-11-04
TAVHL,270,2025-11-04
KRDMD,"28,62",2025-11-04
ASTOR,"99,2",2025-11-04
YKBNK,"33,28",2025-11-04
KOZAL,"26,86",2025-11-04
SISE,"36,98",2025-11-04
GARAN,"134,2",2025-11-04
PGSUS,"213,8",2025-11-04
AKBNK,61,2025-11-04
ISCTR,"12,89",2025-11-04
ULKER,"108,6",2025-11-04
KCHOL,"170,9",2025-11-04
EKGYO,"20,22",2025-11-04
AEFES,"14,4",2025-11-04
FROTO,"98,5",2025-11-04
PETKM,"17,43",2025-11-04
ENKAI,"75,95",2025-11-04
MGROS,"452,69",2025-11-04
SAHOL,"80,6",2025-11-04
TUPRS,188,2025-11-04
GUBRF,"292,25",2025-11-04
THYAO,289,2025-11-04
TCELL,"96,45",2025-11-04
BIMAS,"532,5",2025-11-04
TTKOM,50,2025-11-04
SASA,"3,03",2025-11-04
ASELS,"197,3",2025-11-04
TOASO,"245,3",2025-11-04
KOZAL,"27,52",2025-11-03
TAVHL,269,2025-11-03
ASTOR,"100,2",2025-11-03
DSTKF,650,2025-11-03
EKGYO,"20,74",2025-11-03
EREGL,"28,84",2025-11-03
TUPRS,"198,7",2025-11-03
SISE,"37,2",2025-11-03
KCHOL,"174,2",2025-11-03
YKBNK,"33,44",2025-11-03
GUBRF,308,2025-11-03
ULKER,"109,8",2025-11-03
GARAN,"134,5",2025-11-03
PGSUS,"213,5",2025-11-03
AKBNK,"61,1",2025-11-03
PETKM,"17,61",2025-11-03
AEFES,"14,69",2025-11-03
KRDMD,"28,44",2025-11-03
SAHOL,"82,35",2025-11-03
FROTO,"100,1",2025-11-03
ENKAI,76,2025-11-03
ISCTR,"12,93",2025-11-03
